color,cut,variant,train_variant,loading,split,time_days,time_label,mae_pa,rmse_pa,r2,n_points
red,New York strip steak,shear_only,shear_only,compression,train,0.0,Day 0,1103.091235905835,1169.9664557408685,-7.418578139384671,320
red,New York strip steak,shear_only,shear_only,compression,train,1.0,Day 1,1344.6109437342936,1435.6757940002485,-6.930835878637856,240
red,New York strip steak,shear_only,shear_only,compression,train,2.0,Day 2,1486.8974434434153,1534.3628243481387,-14.807978672726135,160
red,New York strip steak,shear_only,shear_only,overall,train,-1.0,Overall,562.8715948883901,768.9152662115414,-0.013997321635165427,2700
red,New York strip steak,shear_only,shear_only,shear,train,0.0,Day 0,285.57745689852874,310.464580096572,-5.2231865364693215,400
red,New York strip steak,shear_only,shear_only,shear,train,1.0,Day 1,366.2356252496696,383.45542379929424,-10.028747916308333,400
red,New York strip steak,shear_only,shear_only,shear,train,2.0,Day 2,277.77034066823495,293.908612192524,-8.133928159179364,300
red,New York strip steak,shear_only,shear_only,unloading,train,0.0,Day 0,273.68104983663824,385.0149708063555,-1.0298021858515543,240
red,New York strip steak,shear_only,shear_only,unloading,train,1.0,Day 1,344.669042204726,506.9024202696543,-0.5405411866813432,320
red,New York strip steak,shear_only,shear_only,unloading,train,2.0,Day 2,269.12503979860537,378.53044336728345,-0.41586653240210314,320
red,New York strip steak,unloading_only,unloading_only,compression,test,0.0,Day 0,765.6083826442722,785.0078653911518,-10.776754360491077,80
red,New York strip steak,unloading_only,unloading_only,compression,test,1.0,Day 1,1044.0407061670003,1058.4182490921162,-26.212461710270638,80
red,New York strip steak,unloading_only,unloading_only,compression,test,2.0,Day 2,1674.3661582654072,1751.2687537366826,-9.694419850143891,80
red,New York strip steak,unloading_only,unloading_only,overall,test,-1.0,Overall,569.9436983802958,796.2580539828348,-0.10419630137622038,680
red,New York strip steak,unloading_only,unloading_only,shear,test,0.0,Day 0,77.27386214662519,79.83468264813409,-6.916560425745906,100
red,New York strip steak,unloading_only,unloading_only,shear,test,2.0,Day 2,247.37941350982274,256.91793553548314,-11.576845548476348,100
red,New York strip steak,unloading_only,unloading_only,unloading,test,0.0,Day 0,345.90969205684684,412.3788167034901,-3.3887312385931034,80
red,New York strip steak,unloading_only,unloading_only,unloading,test,1.0,Day 1,291.7320954577798,371.66069108353355,-1.960022814537449,80
red,New York strip steak,unloading_only,unloading_only,unloading,test,2.0,Day 2,317.0478070706489,432.5925398348302,-0.8488892043856964,80
red,New York strip steak,unloading_only,unloading_only,compression,train,0.0,Day 0,1038.6015621005981,1100.265763920515,-6.4453844175549815,320
red,New York strip steak,unloading_only,unloading_only,compression,train,1.0,Day 1,1310.37450212205,1398.8559965481331,-6.529258783630391,240
red,New York strip steak,unloading_only,unloading_only,compression,train,2.0,Day 2,1460.591202407954,1505.1575203289635,-14.211922771119168,160
red,New York strip steak,unloading_only,unloading_only,overall,train,-1.0,Overall,561.2227883196713,754.625749159376,0.023340720559418382,2700
red,New York strip steak,unloading_only,unloading_only,shear,train,0.0,Day 0,270.57767266928,294.5966212097692,-4.6033044721914775,400
red,New York strip steak,unloading_only,unloading_only,shear,train,1.0,Day 1,358.12527699701553,374.5776046852932,-9.523981024981984,400
red,New York strip steak,unloading_only,unloading_only,shear,train,2.0,Day 2,271.5503351370481,287.3216400141671,-7.72910345517419,300
red,New York strip steak,unloading_only,unloading_only,unloading,train,0.0,Day 0,368.52657203068804,472.27165024473476,-2.0540928401154743,240
red,New York strip steak,unloading_only,unloading_only,unloading,train,1.0,Day 1,377.35369301251956,547.0296607804307,-0.7940987114175564,320
red,New York strip steak,unloading_only,unloading_only,unloading,train,2.0,Day 2,289.43348824172665,407.55445543351516,-0.6413151561800732,320
red,New York strip steak,weighted_all,weighted_all,compression,test,0.0,Day 0,715.5633665462498,729.9996592990425,-9.184106097510513,80
red,New York strip steak,weighted_all,weighted_all,compression,test,1.0,Day 1,1017.4000118348774,1029.692712948508,-24.75541018798676,80
red,New York strip steak,weighted_all,weighted_all,compression,test,2.0,Day 2,1653.894560689266,1728.2723833944553,-9.415401413290615,80
red,New York strip steak,weighted_all,weighted_all,overall,test,-1.0,Overall,572.5817124963521,788.2398989776233,-0.0820702079471376,680
red,New York strip steak,weighted_all,weighted_all,shear,test,0.0,Day 0,65.62967246581046,68.0763499562973,-4.756332194088773,100
red,New York strip steak,weighted_all,weighted_all,shear,test,2.0,Day 2,242.53645766586746,251.8459280050349,-11.085169529245677,100
red,New York strip steak,weighted_all,weighted_all,unloading,test,0.0,Day 0,425.162292345238,487.7616304361484,-5.139903665304492,80
red,New York strip steak,weighted_all,weighted_all,unloading,test,1.0,Day 1,333.591890921963,409.8610082686686,-2.5997720979465813,80
red,New York strip steak,weighted_all,weighted_all,unloading,test,2.0,Day 2,336.12477121680195,458.4460204782857,-1.076487158793268,80
red,New York strip steak,weighted_all,weighted_all,compression,train,0.0,Day 0,988.5565460025757,1046.6514921441706,-5.7374587727616175,320
red,New York strip steak,weighted_all,weighted_all,compression,train,1.0,Day 1,1283.7338077899271,1370.3142393857984,-6.225144675271473,240
red,New York strip steak,weighted_all,weighted_all,compression,train,2.0,Day 2,1440.1196048318125,1482.4648109502132,-13.756691324863038,160
red,New York strip steak,weighted_all,weighted_all,overall,train,-1.0,Overall,561.3591255229093,745.6009968910548,0.04656124551461138,2700
red,New York strip steak,weighted_all,weighted_all,shear,train,0.0,Day 0,258.93348298846524,282.40382422189987,-4.1490824463166875,400
red,New York strip steak,weighted_all,weighted_all,shear,train,1.0,Day 1,351.8120700471855,367.6823148739383,-9.140092637743956,400
red,New York strip steak,weighted_all,weighted_all,shear,train,2.0,Day 2,266.70821345721555,282.2145717678725,-7.421546203820316,300
red,New York strip steak,weighted_all,weighted_all,unloading,train,0.0,Day 0,447.21473817189303,544.0085719615773,-3.052378178925898,240
red,New York strip steak,weighted_all,weighted_all,unloading,train,1.0,Day 1,407.8124302646708,579.9301715046932,-1.0163967653476136,320
red,New York strip steak,weighted_all,weighted_all,unloading,train,2.0,Day 2,308.35654203432625,431.63410510855135,-0.8409932438321166,320
