file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa,modified_z,is_outlier
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,34,0.0680418,348.335,0.6745,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,35,0.06691169999999999,356.175,0.7809534791435953,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,35,0.0690926,239.264,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,35,0.06710429999999999,293.444,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,35,0.0629742,260.065,-0.41554329088224456,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,35,0.0680418,348.335,0.6833514119601324,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,36,0.06691169999999999,356.175,0.7809534791435953,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,36,0.0690926,239.264,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,36,0.06710429999999999,293.444,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,36,0.0713281,274.455,-0.23639868032484349,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,36,0.0680418,348.335,0.6833514119601324,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,37,0.06691169999999999,356.175,0.7809534791435953,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,37,0.0690926,239.264,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,37,0.06710429999999999,293.444,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,37,0.0713281,274.455,-0.23639868032484349,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,37,0.0680418,348.335,0.6833514119601324,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,38,0.0759739,380.345,0.9430908385568744,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,38,0.0690926,239.264,-0.9998443044694454,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,38,0.0751626,311.865,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,38,0.0713281,274.455,-0.5152019315188767,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,38,0.076148,360.842,0.6745,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,39,0.0759739,380.345,0.9430908385568744,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,39,0.0770613,249.901,-0.8533539824815733,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,39,0.0751627,311.865,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,39,0.0713281,274.455,-0.5152019315188767,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,39,0.076148,360.842,0.6745,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,40,0.0759739,380.345,0.9430908385568744,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,40,0.0770613,249.901,-0.8533539824815733,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,40,0.0751627,311.865,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,40,0.079707,286.218,-0.35320459603487353,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,40,0.076148,360.842,0.6745,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,41,0.0759739,380.345,0.9430908385568744,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,41,0.0770613,249.901,-0.8533539824815733,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,41,0.0751627,311.865,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,41,0.079707,286.218,-0.35320459603487353,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,41,0.076148,360.842,0.6745,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,42,0.0759739,380.345,0.8384315961300164,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,42,0.0770613,249.901,-1.2582340696787724,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,42,0.0831678,328.182,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,42,0.079707,286.218,-0.6745,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,42,0.08423870000000001,369.379,0.6621717781908303,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,43,0.08502119999999999,402.474,1.1941176722905342,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,43,0.0851571,255.621,-1.1662947883900487,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,43,0.0831677,328.182,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,43,0.079707,286.218,-0.6745,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,43,0.084238,369.379,0.6621717781908303,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,44,0.08502119999999999,402.474,1.2163495885622735,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,44,0.0851571,255.621,-1.1880087020899581,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,44,0.0831677,328.182,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,44,0.08809240000000002,296.695,-0.5155225259120813,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,44,0.084238,369.379,0.6745,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,45,0.08502119999999999,402.474,1.2163495885622735,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,45,0.0851571,255.621,-1.1880087020899581,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,45,0.0831677,328.182,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,45,0.08809240000000002,296.695,-0.5155225259120813,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,45,0.084238,369.379,0.6745,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,46,0.08502119999999999,402.474,0.8558819201647331,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,46,0.0851571,255.621,-1.2687475064884923,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,46,0.0912438,343.316,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,46,0.08809240000000002,296.695,-0.6745,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,46,0.0923375,379.33,0.5210407970657003,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,47,0.0941129,423.693,1.162872664679008,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,47,0.09328189999999999,261.502,-1.1836627914459148,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,47,0.0912441,343.316,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,47,0.08809240000000002,296.695,-0.6745,False
