color,cut_name,freshness_index,time_hours,time_days,mode,loading,file_name,sample_num,global_distance,global_z,local_outlier_fraction,feature_score,feature_z,curve_score,curve_weight,is_curve_outlier
red,new york strip steak,3,48,2.0,shear,shear,red3-4.xls,4,0.9073167276211245,0.6744907594765952,0.02,0.8354831655026274,0.0,0.6944907594765952,0.9491350696365125,False
red,new york strip steak,3,48,2.0,shear,shear,red3-5.xls,5,0.6371052826994333,0.9675446414694308,0.0,0.31158848472276557,1.850178220852378,2.817722862321809,0.5313006281709869,False
red,new york strip steak,3,48,2.0,uniaxial,compression,red3-1.xls,1,8.71911719710051,7.41696347807726,0.4625,1.1687434829123085,2.0543259510504095,9.93378942912767,0.1,True
red,new york strip steak,3,48,2.0,uniaxial,compression,red3-2.xls,2,0.23449860705015463,0.6744907594765952,0.0,0.0,0.6744907594765952,1.3489815189531904,0.831812107765968,False
red,new york strip steak,3,48,2.0,uniaxial,compression,red3-3.xls,3,9.99820126047578,8.636776726597603,0.575,2.0727828667952357,4.165103734013557,13.376880460611158,0.1,True
red,new york strip steak,3,48,2.0,uniaxial,compression,red3-4.xls,4,0.3319356493213121,0.5815688019116185,0.0,0.2888822383642622,0.0,0.5815688019116185,0.9637808716125398,False
red,new york strip steak,3,48,2.0,uniaxial,compression,red3-5.xls,5,0.9417629218023535,0.0,0.0,0.28773712689582887,0.002673639987014522,0.002673639987014522,0.9999992057394331,False
red,new york strip steak,3,48,2.0,uniaxial,unloading,red3-1.xls,1,4.411817317847277,0.6744907594765952,0.5,1.667693565520226,0.4831870988307531,1.6576778583073484,0.7660946343463193,False
red,new york strip steak,3,48,2.0,uniaxial,unloading,red3-2.xls,2,0.5971508856314278,0.7577765509203684,0.0,0.16394292690450782,0.7152319186137083,1.4730084695340766,0.8057473816544652,False
red,new york strip steak,3,48,2.0,uniaxial,unloading,red3-3.xls,3,3.1282593804816936,0.1925618392534458,0.5,1.0614006931098516,0.0,0.6925618392534458,0.9494029514838636,False
red,new york strip steak,3,48,2.0,uniaxial,unloading,red3-4.xls,4,2.6153947922909073,0.0,0.4,1.9077373212336082,0.6744907594765952,1.0744907594765953,0.8863039109039103,False
red,new york strip steak,3,48,2.0,uniaxial,unloading,red3-5.xls,5,0.05636774878212954,0.9608207810480502,0.0,0.0,0.8458867734364018,1.806707554484452,0.7338436859480677,False
