color,cut_name,freshness_index,time_hours,time_days,mode,loading,point_index,deformation,file_name,sample_num,interpolated_stress_pa,modified_z,is_outlier
green,sirloin steak,1,0,0.0,shear,shear,31,0.1251630413877551,green1-3.xls,3,397.890349145872,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,31,0.1251630413877551,green1-4.xls,4,331.6613990327154,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,31,0.1251630413877551,green1-5.xls,5,413.8744917114682,0.1627883900027714,False
green,sirloin steak,1,0,0.0,shear,shear,32,0.12922820575510205,green1-1.xls,1,492.438104635456,0.878631122888078,False
green,sirloin steak,1,0,0.0,shear,shear,32,0.12922820575510205,green1-2.xls,2,269.6728231709461,-1.3170775892620663,False
green,sirloin steak,1,0,0.0,shear,shear,32,0.12922820575510205,green1-3.xls,3,403.2967224882885,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,32,0.12922820575510205,green1-4.xls,4,334.86543125354416,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,32,0.12922820575510205,green1-5.xls,5,417.21185810237984,0.13715595310788506,False
green,sirloin steak,1,0,0.0,shear,shear,33,0.133293370122449,green1-1.xls,1,499.3626875822662,0.8763785991058873,False
green,sirloin steak,1,0,0.0,shear,shear,33,0.133293370122449,green1-2.xls,2,270.66900959232123,-1.325060252292956,False
green,sirloin steak,1,0,0.0,shear,shear,33,0.133293370122449,green1-3.xls,3,408.3212103166823,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,33,0.133293370122449,green1-4.xls,4,338.25163481782096,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,33,0.133293370122449,green1-5.xls,5,420.4164033650726,0.1164301004117232,False
green,sirloin steak,1,0,0.0,shear,shear,34,0.13735853448979593,green1-1.xls,1,506.1337925866187,0.8830358813747543,False
green,sirloin steak,1,0,0.0,shear,shear,34,0.13735853448979593,green1-2.xls,2,271.2003069639543,-1.3420925510554482,False
green,sirloin steak,1,0,0.0,shear,shear,34,0.13735853448979593,green1-3.xls,3,412.90110789404196,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,34,0.13735853448979593,green1-4.xls,4,341.6860563298407,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,34,0.13735853448979593,green1-5.xls,5,422.78850597803677,0.09364663594524353,False
green,sirloin steak,1,0,0.0,shear,shear,35,0.14142369885714287,green1-1.xls,1,512.8221541051074,0.885542462934464,False
green,sirloin steak,1,0,0.0,shear,shear,35,0.14142369885714287,green1-2.xls,2,271.68273396906324,-1.3535050834335165,False
green,sirloin steak,1,0,0.0,shear,shear,35,0.14142369885714287,green1-3.xls,3,417.4516040851899,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,35,0.14142369885714287,green1-4.xls,4,344.8097617332495,-0.6745,False
