file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa,stress_std_pa,n_used,n_total,used_samples,used_files,dropped_samples
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,21,0.904339545853698,-1423.6700980671112,243.90947338029963,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,22,0.9084915180519608,-1395.3577530642967,242.62266258480696,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,23,0.9126434902502238,-1367.045408061481,242.0620845543534,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,24,0.9167954624484866,-1338.7330630586666,242.2327813113426,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,25,0.9209474346467496,-1311.2605795222705,238.71672418118195,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,26,0.9250994068450125,-1285.7775524905105,234.0885552905615,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,27,0.9292513790432754,-1260.2945254587507,229.55036785962793,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,28,0.9334033512415383,-1234.811498426991,225.10760405459266,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,29,0.9375553234398012,-1209.3284713952312,220.76602495435853,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,30,0.9417072956380641,-1178.58273814483,217.13604237593668,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,31,0.945859267836327,-1146.0992382242828,214.6632344572967,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,32,0.9500112400345899,-1113.615738303736,212.84656680644142,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
